RuleType,Value,N,Mean_Judge_Norm,Mean_Audience_Norm,Judge_Lift,Audience_Lift,Judge_Std,Audience_Std
Percent,Alan Bersten,3,0.6629033105771498,0.6071156457401026,0.2079255330790351,0.18844711360467964,0.16401884025167135,0.17834694508217297
Percent,Alec Mazo,4,0.38094919038522085,0.3520575291110109,-0.07402858711289384,-0.06661100302441203,0.22416931967761583,0.21691354766806115
Percent,Allison Holker,4,0.5629343428134636,0.5211641370092319,0.10795656531534886,0.10249560487380899,0.20417305661705043,0.19430748746828108
Percent,Anna Demidova,1,0.07847655191108703,0.08526183906162943,-0.37650122558702764,-0.3334066930737935,0.0,0.0
Percent,Anna Trebunskaya,10,0.3536369282789873,0.3051908776698843,-0.1013408492191274,-0.11347765446553865,0.17329134544136357,0.1710367409206881
Percent,Artem Chigvintsev,8,0.37094431963181423,0.3291425962226088,-0.08403345786630045,-0.08952593591281416,0.17159071440192222,0.1723779425959627
Percent,Ashly DelGrosso,2,0.15049206879072236,0.10915079843145696,-0.30448570870739233,-0.30951773370396596,0.15049206879072236,0.10915079843145696
Percent,Brandon Armstrong,1,0.8847222222222222,0.7931154203084549,0.4297444447241075,0.374446888173032,0.0,0.0
Percent,Brian Fortuna,1,0.46730063396730054,0.33602611309001434,0.01232285646918585,-0.08264241904540859,0.0,0.0
Percent,Chelsie Hightower,7,0.4202558663678858,0.37630582104114746,-0.03472191113022888,-0.042362711094275474,0.21038444243306267,0.17177679545011584
Percent,Cheryl Burke,20,0.4671790893669241,0.4356229392183743,0.012201311868809406,0.016954407082951373,0.2399665850350854,0.23268353657226362
Percent,Corky Ballas,2,0.2394087240515812,0.19815606616374754,-0.2155690534465335,-0.2205124659716754,0.1071917346917347,0.09645377142584982
Percent,Damian Whitewood,1,0.5532239023787765,0.5162658914940499,0.09824612488066181,0.09759735935862696,0.0,0.0
Percent,Derek Hough,17,0.757334533940242,0.7287062933459678,0.3023567564421273,0.3100377612105449,0.1599833451029917,0.16325075921343765
Percent,Dmitry Chaplin,3,0.5543989893231701,0.5238956546783925,0.09942121182505542,0.10522712254296956,0.22375094420193212,0.23438988005700273
Percent,Edyta Sliwinska,9,0.29312108722502717,0.26510235330165743,-0.16185669027308752,-0.1535661788337655,0.24270397205054534,0.2349802497865575
Percent,Elena Grinenko,2,0.02777777777777778,0.022736285525446133,-0.4271999997203369,-0.3959322466099768,0.02777777777777778,0.022736285525446133
Percent,Emma Slater,10,0.2885240831786028,0.2506191289962746,-0.1664536943195119,-0.16804940313914835,0.24434634544557055,0.23290255147728606
Percent,Fabian Sanchez,1,0.3711204622539784,0.3506269102333946,-0.08385731524413631,-0.06804162190202834,0.0,0.0
Percent,Gleb Savchenko,6,0.4302007143916703,0.3474045691020636,-0.024777063106444397,-0.07126396303335936,0.10102448490848906,0.11549259410204758
Percent,Henry Byalikov,1,0.2608695652173913,0.17634560906515584,-0.1941082122807234,-0.2423229230702671,0.0,0.0
Percent,Inna Brayer,1,0.5102040816326531,0.39104024297646167,0.055226304134538384,-0.02762828915896126,0.0,0.0
Percent,Jenna Johnson,3,0.41212123578362336,0.3772541428560252,-0.042856541714491325,-0.04141438927939772,0.4203203459726304,0.42779709323177284
Percent,Jesse DeSoto,1,0.3632840028188864,0.3017255457915933,-0.09169377467922829,-0.11694298634382966,0.0,0.0
Percent,Jonathan Roberts,5,0.25570512594132233,0.21721660534751075,-0.19927265155679236,-0.20145192678791218,0.23102685397016545,0.2048260234463677
Percent,Julianne Hough,5,0.5627651028535627,0.5255798018763466,0.10778732535544805,0.10691126974092363,0.25124613039764243,0.24592982715833128
Percent,Karina Smirnoff,18,0.44145071124525176,0.40524595606035485,-0.01352706625286293,-0.013422576075068082,0.23880801620676112,0.24158625958862626
Percent,Keo Motsepe,8,0.2657421974845158,0.23720020884171977,-0.18923558001359891,-0.18146832329370316,0.2581899627909356,0.24505269961009588
Percent,Kym Herjavec,1,0.05,0.035428779069767435,-0.4049777774981147,-0.3832397530656555,0.0,0.0
Percent,Kym Johnson,14,0.43019056671308376,0.39873281798541105,-0.024787210785030933,-0.019935714150011885,0.25325452583347763,0.24522241390406485
Percent,Lacey Schwimmer,6,0.305164427192967,0.2880370355851922,-0.1498133503051477,-0.1306314965502307,0.2290306825613125,0.2200013420304525
Percent,Lindsay Arnold,8,0.4826880179467604,0.45498091474068436,0.02771024044864573,0.03631238260526143,0.28229858686829334,0.27547989675965584
Percent,Louis van Amstel,8,0.39582937007573793,0.36771163858417427,-0.05914840742237676,-0.05095689355124866,0.22194689652100535,0.20775002405593643
Percent,Maksim Chmerkoskiy,16,0.5455889255451359,0.5141443836350548,0.09061114804702125,0.09547585149963184,0.243125094781718,0.23502274036832269
Percent,Mark Ballas,19,0.6369708566904502,0.591571056751906,0.18199307919233548,0.1729025246164831,0.24419377529196284,0.2495890539847164
Percent,Nick Kosovich,1,0.6612344373972281,0.6289625551731836,0.2062566598991134,0.21029402303776062,0.0,0.0
Percent,Peta Murgatroyd,11,0.43063767796340513,0.3997191045161271,-0.02434009953470956,-0.018949427619295856,0.24189342764495972,0.23116444269540307
Percent,Sasha Farber,6,0.5878191799756847,0.5360853763101168,0.13284140247756998,0.11741684417469384,0.11445100393856804,0.12375125479234327
Percent,Sharna Burgess,12,0.43769700886089186,0.4013771899632465,-0.017280768637222832,-0.017291342172176427,0.21268242851754204,0.2134278849978106
Percent,Tony Dovolani,20,0.3698955816348296,0.3344950284917813,-0.08508219586328508,-0.08417350364364162,0.2406121771574457,0.22905740029308144
Percent,Tristan MacManus,5,0.2019572355374029,0.19561360290958993,-0.2530205419607118,-0.223054929225833,0.12483284209750471,0.1283221851475361
Percent,Tyne Stecklein,1,0.0,0.0,-0.4549777774981147,-0.41866853213542293,0.0,0.0
Percent,Valentin Chmerkovskiy,14,0.6375054157040999,0.5956298460609277,0.18252763820598522,0.1769613139255048,0.17651465731220314,0.20067150260161765
Percent,Witney Carson,10,0.5027952014183318,0.472287834269724,0.047817423920217095,0.05361930213430105,0.2686421729574943,0.2623798533154525
Rank,Alan Bersten,6,0.48515492223825557,0.6058063426081614,0.02637218806421704,0.028471181908196863,0.17376714044467204,0.10060887434933193
Rank,Alan Bersten (Rashad Jennings week 9),1,0.4205627705627706,0.5686196379378198,-0.03821996361126795,-0.008715522762144712,0.0,0.0
Rank,Alec Mazo,1,0.49166666666666664,0.5277777777777778,0.03288393249262811,-0.0495573829221867,0.0,0.0
Rank,Andrea Hale,1,0.125,0.0,-0.33378273417403853,-0.5773351606999645,0.0,0.0
Rank,Anna Trebunskaya,1,0.24955357142857143,0.8462301587301587,-0.2092291627454671,0.26889499803019423,0.0,0.0
Rank,Artem Chigvintsev,4,0.6986577080327081,0.643459740389565,0.23987497385866957,0.0661245796896005,0.09229451732064352,0.030114734394162634
Rank,Ashly DelGrosso,2,0.21,0.775,-0.24878273417403854,0.19766483930003553,0.21,0.025000000000000022
